timestamp,gpu_index,gpu_name,utilization_gpu,memory_used,power_draw
2025/05/09 08:52:14.917, 0, Quadro RTX 8000, 99 %, 1607 MiB, 102.73 W
2025/05/09 08:52:14.948, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.92 W
2025/05/09 08:52:29.951, 0, Quadro RTX 8000, 98 %, 1607 MiB, 102.16 W
2025/05/09 08:52:30.016, 1, Quadro RTX 8000, 2 %, 1095 MiB, 70.92 W
2025/05/09 08:52:45.018, 0, Quadro RTX 8000, 99 %, 1607 MiB, 100.85 W
2025/05/09 08:52:45.020, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.88 W
2025/05/09 08:53:00.022, 0, Quadro RTX 8000, 99 %, 1607 MiB, 103.02 W
2025/05/09 08:53:00.099, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.98 W
2025/05/09 08:53:15.101, 0, Quadro RTX 8000, 99 %, 1607 MiB, 102.53 W
2025/05/09 08:53:15.200, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.95 W
2025/05/09 08:53:30.202, 0, Quadro RTX 8000, 96 %, 1607 MiB, 97.48 W
2025/05/09 08:53:30.249, 1, Quadro RTX 8000, 1 %, 1095 MiB, 68.93 W
2025/05/09 08:53:45.250, 0, Quadro RTX 8000, 99 %, 1607 MiB, 104.94 W
2025/05/09 08:53:45.317, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.95 W
2025/05/09 08:54:00.320, 0, Quadro RTX 8000, 0 %, 1607 MiB, 94.30 W
2025/05/09 08:54:00.321, 1, Quadro RTX 8000, 0 %, 1095 MiB, 67.79 W
2025/05/09 08:54:15.322, 0, Quadro RTX 8000, 99 %, 1607 MiB, 102.96 W
2025/05/09 08:54:15.367, 1, Quadro RTX 8000, 4 %, 1095 MiB, 71.02 W
2025/05/09 08:54:30.373, 0, Quadro RTX 8000, 99 %, 1607 MiB, 102.46 W
2025/05/09 08:54:30.395, 1, Quadro RTX 8000, 4 %, 1095 MiB, 71.10 W
2025/05/09 08:54:45.397, 0, Quadro RTX 8000, 99 %, 1607 MiB, 103.12 W
2025/05/09 08:54:45.429, 1, Quadro RTX 8000, 4 %, 1095 MiB, 71.06 W
2025/05/09 08:55:00.431, 0, Quadro RTX 8000, 99 %, 1607 MiB, 101.32 W
2025/05/09 08:55:00.490, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.99 W
2025/05/09 08:55:15.492, 0, Quadro RTX 8000, 99 %, 1607 MiB, 102.76 W
2025/05/09 08:55:15.539, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.92 W
2025/05/09 08:55:30.542, 0, Quadro RTX 8000, 99 %, 1607 MiB, 102.85 W
2025/05/09 08:55:30.576, 1, Quadro RTX 8000, 4 %, 1095 MiB, 71.05 W
2025/05/09 08:55:45.577, 0, Quadro RTX 8000, 10 %, 551 MiB, 93.94 W
2025/05/09 08:55:45.579, 1, Quadro RTX 8000, 7 %, 549 MiB, 67.86 W
